,Application_Number,Trade_Name,Sponsor_Name,Expiration,Patent,Action,Date,Date_Withdrawn,Description,Ingredients,Number,Petitioner,Sponsor_When_Withdrawn,Address,City,CountryProvince,License_No.,Site_Name,State,Zip_Code
339,055-080,Amoxi-Doser,Zoetis Inc.,05/14/2032,8987323,Approved,02/21/2019,02/13/2012,"The petitioner requests to file an ANADA for a generic cyclosporine oral solution for use in dogs that differs from the reference listed new animal drug (RLNAD), Atopica™ (cyclosporine capsules) USP MODIFIED, sponsored by Elanco US Inc. under NADA 141-218. The proposed change is for an unencapsulated oral solution (10% w/w cyclosporine non-aqueous solution); the RLNAD is approved as gelatin capsules in 10 mg, 25 mg, 50 mg, and 100 mg capsule strengths.",Diethylcarbamazine Citrate,2018-P-4642,Provetica Animal Health LLC,"Evsco Pharmaceuticals, An Affiliate of IGI, Inc.",1051 Burgess Road,Attalla,United States,501-663,Koch Farms of Gadsden,AL,35954
340,055-081,amoxi-tabs®,Zoetis Inc.,08/22/2028,8802637,Filed,12/21/2018,03/18/1991,"The petitioner requests to file an ANADA for a generic phenylpropanolamine hydrochloride tablet for use in dogs that differs from the reference listed new animal drug (RLNAD), PROIN®(phenylpropanolamine hydrochloride) Chewable Tablets, sponsored by Pegasus Laboratories, Inc. under NADA 141-324. The proposed change is in dosage form and strength. The petitioner proposes a generic product that is an unscored, film-coated tablet in all tablet strengths approved for the RLNAD (25 mg, 50 mg, and 75 mg), as well as two additional tablet strengths (12.5 mg and 37.5 mg). The RLNAD is approved as scored, chewable tablets in 25 mg, 50 mg, and 75 mg tablet strengths.","Embutramid, Mebezonium Iodide, Tetracaine Hydrochloride",2019-P-0412,Summit Pharmaceuticals Inc.,Hoechst Roussel Vet,1001 Birmingham Hwy,Chattanooga,United States,501-309,Koch Foods LLC,TN,37419
341,055-084,Amp-Equine,Zoetis Inc.,07/03/2031,10533032,Approved,03/21/2019,04/11/2011,"The petitioner requests to file an ANADA for a generic phenylpropanolamine hydrochloride tablet for use in dogs that differs from the reference listed new animal drug (RLNAD), PROIN®(phenylpropanolamine hydrochloride) Chewable Tablets, sponsored by Pegasus Laboratories, Inc. under NADA 141-324. The proposed change is in dosage form and strength. The petitioner proposes a generic product that is an unscored, film-coated tablet in all tablet strengths approved for the RLNAD (25 mg, 50 mg, and 75 mg), as well as two additional tablet strengths (12.5 mg and 37.5 mg). The RLNAD is approved as scored, chewable tablets in 25 mg, 50 mg, and 75 mg tablet strengths.",Chorionic Gonadotropin,2019-P-0412,Summit Pharmaceuticals Inc.,"Abraxis Pharmaceutical Products, A Div. of Abraxis Bioscience",278 Herring Road,Morton,United States,501-483,"Koch Foods of Mississippi, LLC",MS,39117
342,055-085,Amoxi-Drop® Oral Suspension,Zoetis Inc.,08/22/2028,8802637,Filed,02/25/2019,01/09/1998,"The petitioner requests to file an ANADA for a generic praziquantel tablet for use in dogs and cats that differs from the reference listed new animal drug (RLNAD), Droncit® (praziquantel tablets), sponsored by Bayer HealthCare LLC, Animal Health Division under NADA 111-798. The proposed change is in dosage form from a compressed tablet (RLNAD) to a compressed, chewable tablet (proposed generic product).",Chlortetracycline Calcium Complex,2019-P-0916,"Dr. James H. Schafer, US Agent for Felix Pharmaceuticals Private Limited","Pfizer, Inc.",215 Kreamer Avenue,Kreamer,United States,500-185,"Kreamer Feed, Inc.",PA,17833
343,055-087,Amoxi-Bol,Zoetis Inc.,05/14/2032,8987323,Approved,05/15/2019,04/11/2011,"The petitioner requests to file an ANADA for a generic praziquantel tablet for use in dogs and cats that differs from the reference listed new animal drug (RLNAD), Droncit® (praziquantel tablets), sponsored by Bayer HealthCare LLC, Animal Health Division under NADA 111-798. The proposed change is in dosage form from a compressed tablet (RLNAD) to a compressed, chewable tablet (proposed generic product).",Tylosin Phosphate,2019-P-0916,"Dr. James H. Schafer, US Agent for Felix Pharmaceuticals Private Limited",Furst-McNess Co.,Cattleman Road,San Lucas,United States,501-212,L.A. Hearne Company,CA,93954
344,055-088,Amoxi-Sol,Zoetis Inc.,01/30/2029,7838499,Filed,02/25/2019,07/15/1996,"The petitioner requests to file an ANADA for a generic praziquantel/pyrantel pamoate tablet for use in cats that differs from the reference listed new animal drug (RLNAD), Drontal® (praziquantel/pyrantel pamoate) Tablets, sponsored by Bayer HealthCare LLC, Animal Health Division under NADA 141-008. The proposed change is in dosage form from a compressed tablet (RLNAD) to a compressed, chewable tablet (proposed generic product).","Dichlorophene, Toluene",2019-P-0941,"Dr. James H. Schafer, US Agent for Felix Pharmaceuticals Private Limited","Bayer HealthCare LLC, Animal Health Division",300 N Boyd Street,Lanark,United States,501-209,Lanark Ag Center LLC,IL,61046
345,055-089,Amoxi-Inject (Cattle),Zoetis Inc.,06/13/2031,10981942,Approved,05/15/2019,04/11/2011,"The petitioner requests to file an ANADA for a generic praziquantel/pyrantel pamoate tablet for use in cats that differs from the reference listed new animal drug (RLNAD), Drontal® (praziquantel/pyrantel pamoate) Tablets, sponsored by Bayer HealthCare LLC, Animal Health Division under NADA 141-008. The proposed change is in dosage form from a compressed tablet (RLNAD) to a compressed, chewable tablet (proposed generic product).",Levamisole Resinate,2019-P-0941,"Dr. James H. Schafer, US Agent for Felix Pharmaceuticals Private Limited","Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.",8 miles North on KS 23,Dighton,United States,501-210,"Lane County Feeders, Inc.",KS,67839
346,055-091,Amoxi-Inject (Dogs and Cats),Zoetis Inc.,07/03/2031,10533032,Filed,04/02/2019,09/07/2010,"The petitioner requests to file an ANADA for a generic ivermectin and pyrantel (aspamoate salt) chewable for use in dogs that differs from the reference listed new animal drug (RLNAD), Heartgard® Plus (ivermectin/pyrantel) Chewables,sponsored by Boehringer Ingelheim Animal Health USA Inc. under NADA 140-971. The proposed change is in dosage form from an extruded, unscored, and meat-based chewable tablet (RLNAD) to an extruded, scored, and flavored soft chewable (proposed generic product).","Dichlorophene, Toluene",2019-P-1566,"Noble Pharma, LLC","Pegasus Laboratories, Inc.",1153 Swamp Fox Road,Chambersburg,United States,501-355,"Lesher's Poultry Farm, Inc.",PA,17201
347,055-095,Ticillin®,Zoetis Inc.,08/22/2028,8106021,Filed,06/26/2019,09/07/2010,"The petitioner requests to file an ANADA for a generic pyrantel pamoate/praziquantel soft chew for use in dogs that differs from the reference listed new animal drug (RLNAD), Virbantel® (pyrantel pamoate/praziquantel) Flavored Chewables, sponsored by Virbac AH, Inc. under NADA 141-261. The proposed change is in dosage form from a pork liver-flavored chewable tablet (RLNAD) to an extruded, chicken liver-flavored soft chew (proposed generic product).","Dichlorophene, Toluene",2019-P-3109,"Noble Pharma, LLC","Pegasus Laboratories, Inc.",8720 Keystone Rd,Kearney,United States,501-555,Lewis Feed Lot,NE,68847
348,055-097,Dry-Mast®,HQ Specialty Pharma Corp.,09/07/2033,9145434,Approved,09/04/2019,03/10/2014,"The petitioner requests to file an ANADA for a generic pyrantel pamoate/praziquantel soft chew for use in dogs that differs from the reference listed new animal drug (RLNAD), Virbantel® (pyrantel pamoate/praziquantel) Flavored Chewables, sponsored by Virbac AH, Inc. under NADA 141-261. The proposed change is in dosage form from a pork liver-flavored chewable tablet (RLNAD) to an extruded, chicken liver-flavored soft chew (proposed generic product).","Bambermycins, Roxarsone, Zoalene",2019-P-3109,"Noble Pharma, LLC",Huvepharma EOOD,105 East Main Steet,Lewiston,United States,500-995,Lewiston Feed & Produce Co.,MN,55952
349,055-098,Albadry® Plus Suspension,Zoetis Inc.,08/24/2036,10709683,Filed,02/27/2020,02/27/2017,"The petitioner requests to file an ANADA for a generic deracoxib oral solution for use in dogs that differs from the reference listed new animal drug (RLNAD), Deramaxx™ (deracoxib) Chewable Tablets, sponsored by Elanco US Inc. under NADA 141-203. The proposed change is in dosage form and strength. The petitioner proposes a generic product that is an oral solution with a strength of 1.80% w/v (weight per volume). The RLNAD is approved as half-scored, chewable tablets in 12 mg, 25 mg, 75 mg, and 100 mg tablet strengths.","Lasalocid, Lincomycin Hydrochloride",2020-P-0963,"Aurora Pharmaceutical, Inc.",Zoetis Inc.,12290 Hwy 72,Cherokee,United States,501-408,"Life Data Labs, Inc.",AL,35616
350,055-099,"CLAVAMOX® CHEWABLE Tablets, CLAVAMOX® tablets",Zoetis Inc.,06/06/2035,10617666,Approved,05/14/2020,10/09/1990,"The petitioner requests to file an ANADA for a generic deracoxib oral solution for use in dogs that differs from the reference listed new animal drug (RLNAD), Deramaxx™ (deracoxib) Chewable Tablets, sponsored by Elanco US Inc. under NADA 141-203. The proposed change is in dosage form and strength. The petitioner proposes a generic product that is an oral solution with a strength of 1.80% w/v (weight per volume). The RLNAD is approved as half-scored, chewable tablets in 12 mg, 25 mg, 75 mg, and 100 mg tablet strengths.","Dichlorophene, Toluene",2020-P-0963,"Aurora Pharmaceutical, Inc.","Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.",2045 South Downing,Fremont,United States,501-652,"Lincoln Premium Poultry, LLC",NE,68025
351,055-100,Amoxi-Mast®,"Intervet, Inc.",12/17/2038,11225500,Filed,03/10/2020,04/11/2011,"The petitioner requests to file an ANADA for a generic polymyxin B, bacitracin, neomycin, and hydrocortisone ophthalmic ointment for use in dogs and cats that differs from the reference listed new animal drug (RLNAD), CORTISPORIN® OPHTHALMIC OINTMENT Veterinary (polymyxin B, bacitracin, neomycin, hydrocortisone), sponsored by Intervet, Inc. under NADA 065-476. The proposed change is in the strength of one of the active pharmaceutical ingredients (polymyxin B). The petitioner proposes a generic product that is an ophthalmic ointment containing 10,000 units polymyxin B sulfate/gram, 400 units bacitracin zinc/gram, 5 mg neomycin sulfate/gram, and 10 mg (1%) hydrocortisone/gram. The RLNAD is approved as an ophthalmic ointment containing 5,000 units polymyxin B sulfate/gram, 400 units bacitracin zinc/gram, 5 mg neomycin sulfate/gram, and 10 mg (1%) hydrocortisone/gram.",Tylosin Phosphate,2020-P-1074,Akorn Animal Health Inc.,Waterloo Mills Co.,"HC 85, Box 155",Bruneau,United States,501-087,Little Valley Land Co.,ID,83604
352,055-101,Clavamox® Drops,Zoetis Inc.,05/01/2027,7776830,Approved,06/03/2020,04/11/2011,"The petitioner requests to file an ANADA for a generic polymyxin B, bacitracin, neomycin, and hydrocortisone ophthalmic ointment for use in dogs and cats that differs from the reference listed new animal drug (RLNAD), CORTISPORIN® OPHTHALMIC OINTMENT Veterinary (polymyxin B, bacitracin, neomycin, hydrocortisone), sponsored by Intervet, Inc. under NADA 065-476. The proposed change is in the strength of one of the active pharmaceutical ingredients (polymyxin B). The petitioner proposes a generic product that is an ophthalmic ointment containing 10,000 units polymyxin B sulfate/gram, 400 units bacitracin zinc/gram, 5 mg neomycin sulfate/gram, and 10 mg (1%) hydrocortisone/gram. The RLNAD is approved as an ophthalmic ointment containing 5,000 units polymyxin B sulfate/gram, 400 units bacitracin zinc/gram, 5 mg neomycin sulfate/gram, and 10 mg (1%) hydrocortisone/gram.","Sulfamethazine, Tylosin Phosphate",2020-P-1074,Akorn Animal Health Inc.,Waterloo Mills Co.,1640 FM 37,Amherst,United States,501-549,Littlefield Feedyard,TX,79312
353,065-004,Panmycin® 500 Bolus,Zoetis Inc.,09/29/2036,10220017,Filed,10/20/2020,03/10/2014,"The petitioner requests to file an ANADA for a generic firocoxib oral solution for use in horses that differs from the reference listed new animal drug (RLNAD), Equioxx® (firocoxib) Oral Paste, sponsored by Boehringer Ingelheim Animal Health USA Inc. under NADA 141-253. The proposed generic product would differ from the RLNAD in dosage form and strength. The petitioner proposes a generic product that is an oral solution with a strength of 0.9% w/v (weight per volume). The RLNAD is approved as an oral paste; the strength of the RLNAD is 8.2 mg/g.","Lasalocid, Roxarsone",2020-P-2102,"Aurora Pharmaceutical, Inc.",Zoetis Inc.,Highway 57,Batesville,United States,500-963,Live Oak Feedlot,TX,78829
354,065-010,Norocillin,"Norbrook Laboratories, Ltd.",12/17/2034,11896574,Filed,11/24/2020,06/25/1990,"The petitioner requests to file an ANADA for generic cefpodoxime proxetil tablets for the treatment of skin infections (wounds and abscesses) in dogs caused by susceptible strains of Staphylococcus pseudintermedius, Staphylococcus aureus, Streptococcus canis (group G, ß hemoltyic),  Escherichia coli, Pasteurella multocida, and Proteus mirabilis that differ from the reference listed new animal drug (RLNAD), SIMPLICEF® (cefpodoxime proxetil tablets), sponsored by Zoetis Inc. under NADA 141-232. The proposed changes are the addition of a 50 mg tablet strength and the removal of scoring from the 100 and 200 mg tablet strengths. The RLNAD is approved as scored tablets in 100 mg and 200 mg tablet strengths.",Tylosin Phosphate,2020-P-2234,"Ray Law Firm, PLLC","United Suppliers, Inc.",1 mi S on Spur 331,Lubbock,United States,500-890,"Lubbock Feedlots, Inc.",TX,79453
355,065-015,"Bacitracin-Neomycin-Polymyxin with Hydrocortisone Acetate Ophthalmic Ointment, Vetropolycin HC Ophthalmic Ointment","Dechra, Ltd.",05/01/2027,8557782,Approved,02/16/2021,08/19/1996,"The petitioner requests to file an ANADA for generic cefpodoxime proxetil tablets for the treatment of skin infections (wounds and abscesses) in dogs caused by susceptible strains of Staphylococcus pseudintermedius, Staphylococcus aureus, Streptococcus canis (group G, ß hemoltyic),  Escherichia coli, Pasteurella multocida, and Proteus mirabilis that differ from the reference listed new animal drug (RLNAD), SIMPLICEF® (cefpodoxime proxetil tablets), sponsored by Zoetis Inc. under NADA 141-232. The proposed changes are the addition of a 50 mg tablet strength and the removal of scoring from the 100 and 200 mg tablet strengths. The RLNAD is approved as scored tablets in 100 mg and 200 mg tablet strengths.",Erythromycin Thiocyanate,2020-P-2234,"Ray Law Firm, PLLC","Merial, Inc.",410 Sheffield Ave,Spruce Pine,United States,500-480,"M/J Feed Mill AL, LLC",AL,35585
356,065-016,"Bac-Neo-Poly Ophthalmic Ointment, Vetropolycin Ophthalmic Ointment","Dechra, Ltd.",09/12/2032,10383854,Filed,01/15/2021,05/14/1990,"The petitioner requests to file an ANADA for a generic clindamycin tablet for use in dogs that differs from the reference listed new animal drug (RLNAD), Antirobe® (clindamycin hydrochloride capsules, USP), sponsored by Zoetis Inc. under NADA 120-161. The proposed change is in dosage form from a capsule (RLNAD) to a tablet (proposed generic product).",Tylosin,2021-P-0086,Felix Pharmaceuticals Pvt. Ltd.,"Neese & Sons, Inc.",261 Marshall Durbin Drive,Waynesboro,United States,500-482,"M/J Feed Mill MS, LLC",MS,39367
